title, kind of sale,brand,year,price,usage,explanation
بنلی 300 مدل 98 با لوازم|موتورسیکلت و لوازم جانبی|تهران  جیحون|دیوار,فروشی,بنلی 300 دو سیلندر,1398,96000000,12700,موتور بسیار تمیز و سالم  بدون خط و خش و زمین خوردگی  10 ما بیمه داره  با لوازم  برای توضیحات بیشتر تماس بگیرید
(باوام )گلگسی NA 180 مدل 1400 SYM GALAXY|موتورسیکلت و لوازم جانبی|تهران  کوی هفدهم شهریور|دیوار,فروشی,آپاچی,1400,30000000,0, 
بنلی دوسیلندر درحدصفر|موتورسیکلت و لوازم جانبی|تهران  نیرو هوایی|دیوار,فروشی,بنلی 300 دو سیلندر,1398,106000000,3000,یکسال بیمه مدارک کامل درحدصفر یکسال بدون استفاده داخل پارکینگ
موتورسیکلت طرح ویو لیفان مدل 1400|موتورسیکلت و لوازم جانبی|تهران  آبشار|دیوار,فروشی,سایر,1400,9300000,0,جشنواره فروش اقساطی موتورسیکلت لیفان طرح ویو مدل 1400 با پیش پرداخت 9 میلیون به صورت اقساطی و با اقساط 12 ماهه موتور به شدت کم مصرف و نرم و راحت مناسب برای استفاده های داخل شهری و ویزیتوری دارای هدیه کلاه کاسکت و یک سبد اقساط فقط با چک امکانپذیر است
هندا 750 سی بی کا موتور سنگین|موتورسیکلت و لوازم جانبی|تهران  آرارات|دیوار,فروشی,هوندا CBK, 1365,140000000,20000,هندا 750 سی بی کا موتور سالم استثنایی تک استارت روشن مدارک
هوندا 250 تویین  درحد صفر|موتورسیکلت و لوازم جانبی|تهران  آرژانتین|دیوار,فروشی,هوندا CB 250, 1365,25000000,632,موتورسالم تمیز فابریک با مدرک موتور نزدیک شهر اراک چت دیواردرخدمتم
موتور هندا هرمز125|موتورسیکلت و لوازم جانبی|تهران  پاسداران|دیوار,فروشی,هرمز,1390,13000000,1000,باسلام خدمت موتورسواران عزیز موتور هرمز مدل 90 بیمه تاپایان مهر ماه موتور  یک دست هست موتور درحد 97کم کار لاستیک نو یکماه پیش صفحه کلاچ رینگ پستان سوپاپ 1ملیون 400هزار تعویض کردم تعمیر اساسی کلان موتور یکبار تعمیر شده ازصفری تاالان یعنی یک پیچ کم نداره که بگی باید برم بزارم براش  باتری چراغ بوق کیلومتر همش کارمیکند زین روکش کشیدم واقعا تمیزهست موتوری ظاهری همچیش سالم وتمیزهست  
کامکس kmx Kdx zx|موتورسیکلت و لوازم جانبی|تهران  خاوران|دیوار,فروشی,کاوازاکی KMX,1376,23000000,87000,کامکس 
پالس NS200 تنها انژکتور مدل 94|موتورسیکلت و لوازم جانبی|تهران  قبا|دیوار,فروشی,سایر,1394,58500000,31000,پالس ان اس 200 درحد  شتاب عالی موتوری کاملا سالم بدون کوچکترین روغن ریزی و روغن سوزی انجین طلایی انژکتوری مدارک کامل کارت سوخت بدنه کاملا سالم تنها دو برگ سند
موتور ساوین 125مدل 95|موتورسیکلت و لوازم جانبی|تهران  آبشار تهران|دیوار,فروشی,ساوین 125,1395,0,123,با سلام خدا وکیلی موتور نیاز به تعریف نداره بدون هیچگونه مشکلی در حد نو اگزوز شیرازی باید باهاش دور بزنی بفهمی چیه پلاک ملی با مشتری کنار میام
هوندا 125 - 1399|موتورسیکلت و لوازم جانبی|تهران  آهنگ|دیوار,فروشی,مهران CG 125,1399,17300000,2500,باسلام 
های کلیک کیلیک|موتورسیکلت و لوازم جانبی|تهران  تهران‌سر|دیوار,فروشی,هوندا کلیک 150,1400,38000000,2500,سلام
موتور ان اس150مدل95|موتورسیکلت و لوازم جانبی|تهران  افسریه|دیوار,فروشی,ان اس یو 50,1395,0,21000,موتور درحد  کارکرد21000 سنددست اول بیمه6ماه لاستیک عقب و جلو نو دارای زنون لنت عقب جلو تازه عوض شده روغن شمع ها تازه عوض شده  همه لوازم ها فابریک میباشد
مدل 87 فنی  سالم|موتورسیکلت و لوازم جانبی|تهران  باغ خزانه|دیوار,فروشی,لیفان,1387,9200000,50000,هرماه روغنش عوض شده اونم بهترین روغن لنت نو
موتورrx3 250|موتورسیکلت و لوازم جانبی|تهران  ونک|دیوار,فروشی,نیرو محرکه ( نامی ) RX 249,1399,83000000,4,موتور کاملا سالم با نو هیچ فرقی نداره همون جور ک تو عکس مشخصه انجین پلمپ
کاوازاکی Z300|موتورسیکلت و لوازم جانبی|تهران  گمرک|دیوار,فروشی,کاوازاکی Z,1394,175000000,31000,کاوازاکی Z300 اسپیشیال رینگ طلایی ABS بدون زمین خوردگی مدل 2016 لاستیک عقب و جلو پیِرلی 90
موتور لیفان مدل90|موتورسیکلت و لوازم جانبی|تهران  قیام‌دشت|دیوار,فروشی,لیفان CG 150,1390,14500000,50,سالم  یک سال هم بیمه دارد
موتور کویر مدل99|موتورسیکلت و لوازم جانبی|تهران  ورامین|دیوار,فروشی,کویر موتور,1399,23000000,671,با سلام  موتور کویر  125 رنگ 
